DateKey	Date	Day	Weekno	Month	Monthshort	Monthno	Quarter	Year
20200821	8/21/2020	Friday	34	August	Aug	8	3	2020
20200822	8/22/2020	Saturday	34	August	Aug	8	3	2020
20200823	8/23/2020	Sunday	35	August	Aug	8	3	2020
20200824	8/24/2020	Monday	35	August	Aug	8	3	2020
20200825	8/25/2020	Tuesday	35	August	Aug	8	3	2020
20200826	8/26/2020	Wednesday	35	August	Aug	8	3	2020
20200827	8/27/2020	Thursday	35	August	Aug	8	3	2020
20200828	8/28/2020	Friday	35	August	Aug	8	3	2020
20200829	8/29/2020	Saturday	35	August	Aug	8	3	2020
20200830	8/30/2020	Sunday	36	August	Aug	8	3	2020
20200831	8/31/2020	Monday	36	August	Aug	8	3	2020
20200901	9/1/2020	Tuesday	36	September	Sep	9	3	2020
20200902	9/2/2020	Wednesday	36	September	Sep	9	3	2020
20200903	9/3/2020	Thursday	36	September	Sep	9	3	2020
20200904	9/4/2020	Friday	36	September	Sep	9	3	2020
20200905	9/5/2020	Saturday	36	September	Sep	9	3	2020
20200906	9/6/2020	Sunday	37	September	Sep	9	3	2020
20200907	9/7/2020	Monday	37	September	Sep	9	3	2020
20200908	9/8/2020	Tuesday	37	September	Sep	9	3	2020
20200909	9/9/2020	Wednesday	37	September	Sep	9	3	2020
20200910	9/10/2020	Thursday	37	September	Sep	9	3	2020
20200911	9/11/2020	Friday	37	September	Sep	9	3	2020
20200912	9/12/2020	Saturday	37	September	Sep	9	3	2020
20200913	9/13/2020	Sunday	38	September	Sep	9	3	2020
20200914	9/14/2020	Monday	38	September	Sep	9	3	2020
20200915	9/15/2020	Tuesday	38	September	Sep	9	3	2020
20200916	9/16/2020	Wednesday	38	September	Sep	9	3	2020
20200917	9/17/2020	Thursday	38	September	Sep	9	3	2020
20200918	9/18/2020	Friday	38	September	Sep	9	3	2020
20200919	9/19/2020	Saturday	38	September	Sep	9	3	2020
20200920	9/20/2020	Sunday	39	September	Sep	9	3	2020
20200921	9/21/2020	Monday	39	September	Sep	9	3	2020
20200922	9/22/2020	Tuesday	39	September	Sep	9	3	2020
20200923	9/23/2020	Wednesday	39	September	Sep	9	3	2020
20200924	9/24/2020	Thursday	39	September	Sep	9	3	2020
20200925	9/25/2020	Friday	39	September	Sep	9	3	2020
20200926	9/26/2020	Saturday	39	September	Sep	9	3	2020
20200927	9/27/2020	Sunday	40	September	Sep	9	3	2020
20200928	9/28/2020	Monday	40	September	Sep	9	3	2020
20200929	9/29/2020	Tuesday	40	September	Sep	9	3	2020
20200930	9/30/2020	Wednesday	40	September	Sep	9	3	2020
20201001	10/1/2020	Thursday	40	October	Oct	10	4	2020
20201002	10/2/2020	Friday	40	October	Oct	10	4	2020
20201003	10/3/2020	Saturday	40	October	Oct	10	4	2020
20201004	10/4/2020	Sunday	41	October	Oct	10	4	2020
20201005	10/5/2020	Monday	41	October	Oct	10	4	2020
20201006	10/6/2020	Tuesday	41	October	Oct	10	4	2020
20201007	10/7/2020	Wednesday	41	October	Oct	10	4	2020
20201008	10/8/2020	Thursday	41	October	Oct	10	4	2020
20201009	10/9/2020	Friday	41	October	Oct	10	4	2020
20201010	10/10/2020	Saturday	41	October	Oct	10	4	2020
20201011	10/11/2020	Sunday	42	October	Oct	10	4	2020
20201012	10/12/2020	Monday	42	October	Oct	10	4	2020
20201013	10/13/2020	Tuesday	42	October	Oct	10	4	2020
20201014	10/14/2020	Wednesday	42	October	Oct	10	4	2020
20201015	10/15/2020	Thursday	42	October	Oct	10	4	2020
20201016	10/16/2020	Friday	42	October	Oct	10	4	2020
20201017	10/17/2020	Saturday	42	October	Oct	10	4	2020
20201018	10/18/2020	Sunday	43	October	Oct	10	4	2020
20201019	10/19/2020	Monday	43	October	Oct	10	4	2020
20201020	10/20/2020	Tuesday	43	October	Oct	10	4	2020
20201021	10/21/2020	Wednesday	43	October	Oct	10	4	2020
20201022	10/22/2020	Thursday	43	October	Oct	10	4	2020
20201023	10/23/2020	Friday	43	October	Oct	10	4	2020
20201024	10/24/2020	Saturday	43	October	Oct	10	4	2020
